num_layers,num_nodes,learning_rate,epochs,optimizer,num_splits,test_loss,r2
3,64,0.0001,500,ADAM,5,0.006993536837399,0.989917306375248
3,64,0.0001,500,ADAM,10,0.0051779034547507,0.9926127358641736
3,64,1e-05,50,SGD,5,0.6854211091995239,-0.2111735131630177
3,64,1e-05,50,SGD,10,0.6315082311630249,-0.0912882851748365
3,64,1e-05,50,RMSprop,5,0.0096815954893827,0.9870970957776632
3,64,1e-05,50,RMSprop,10,0.0092547852545976,0.987222123146099
3,64,1e-05,50,ADAM,5,0.0096564413979649,0.9865959528473216
3,64,1e-05,50,ADAM,10,0.0089910803362727,0.9878055387418986
3,64,1e-05,100,SGD,5,0.6421391367912292,-0.1043504513925347
3,64,1e-05,100,SGD,10,0.6460944414138794,-0.0939932175733192
3,64,1e-05,100,RMSprop,5,0.0097827687859535,0.9863047213200216
3,64,1e-05,100,RMSprop,10,0.006971628870815,0.9901174799970536
3,64,1e-05,100,ADAM,5,0.0093811592087149,0.9869024005264274
3,64,1e-05,100,ADAM,10,0.0089727025479078,0.9877045871604038
3,64,1e-05,500,SGD,5,0.6418910622596741,-0.1013984570197473
3,64,1e-05,500,SGD,10,0.5812968015670776,0.0298692752605126
3,64,1e-05,500,RMSprop,5,0.0088469516485929,0.9876673422998922
3,64,1e-05,500,RMSprop,10,0.0068404572084546,0.990550318094796
3,64,1e-05,500,ADAM,5,0.0094644641503691,0.9872042096657828
3,64,1e-05,500,ADAM,10,0.0089553641155362,0.9880834321427544
3,256,0.01,50,SGD,5,0.0088353650644421,0.9878644726018052
3,256,0.01,50,SGD,10,0.0085829235613346,0.9881553905453244
3,256,0.01,50,RMSprop,5,0.0928001925349235,0.8385756395954368
3,256,0.01,50,RMSprop,10,0.0872838422656059,0.8530475611706009
3,256,0.01,50,ADAM,5,0.0277398005127906,0.9495076892234618
3,256,0.01,50,ADAM,10,0.0278818886727094,0.9553554970247936
3,256,0.01,100,SGD,5,0.0090681938454508,0.9875711152736204
3,256,0.01,100,SGD,10,0.0082627171650528,0.9883649564904092
3,256,0.01,100,RMSprop,5,0.0859130024909973,0.8554720776656543
3,256,0.01,100,RMSprop,10,0.0596255287528038,0.9033838790049789
